Account, Status, Transaction Date, Posted Date, Card No., Description, Category, Debit, Credit, Card Title, Check No.
"Checking - 9692",Posted,01/10/2024,01/10/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,907.80,,
"Checking - 9692",Posted,01/10/2024,01/10/2024,,"CHECK              3000",B,619.00,,,3000
"Checking - 9692",Posted,01/10/2024,01/10/2024,,"CHECK              3005",B,615.00,,,3005
"Checking - 9692",Posted,01/10/2024,01/10/2024,,"CHECK              3006",B,1051.00,,,3006
"Checking - 9692",Posted,01/10/2024,01/10/2024,,"CHECK               3008",B,936.00,,,3008
"Checking - 9692",Posted,01/10/2024,01/10/2024,,"CHECK              3011",B,861.00,,,3011
"Checking - 9692",Posted,01/10/2024,01/10/2024,,"CHECK              3013",B,312.00,,,3013
"Checking - 9692",Posted,01/09/2024,01/09/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,38.00,,
"Checking - 9692",Posted,01/09/2024,01/09/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,565.60,,
"Checking - 9692",Posted,01/09/2024,01/09/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,571.00,,
"Checking - 9692",Posted,01/09/2024,01/09/2024,,"ACH Debit  BILLPAY    STILLWATER UTILI  PPD",B,250.48,,,
"Checking - 9692",Posted,01/09/2024,01/09/2024,,"CHECK              3007",B,837.00,,,3007
"Checking - 9692",Posted,01/09/2024,01/09/2024,,"CHECK              3012",B,1000.01,,,3012
"Checking - 9692",Posted,01/08/2024,01/08/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,491.00,,
"Checking - 9692",Posted,01/08/2024,01/08/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,1782.95,,
"Checking - 9692",Posted,01/08/2024,01/08/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,2640.85,,
"Checking - 9692",Posted,01/08/2024,01/08/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,3205.85,,
"Checking - 9692",Posted,01/05/2024,01/05/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,93.00,,
"Checking - 9692",Posted,01/05/2024,01/05/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,151.00,,
"Checking - 9692",Posted,01/05/2024,01/05/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,2023.95,,
"Checking - 9692",Posted,01/05/2024,01/05/2024,,"POS Pre-Authorized Debit - DDA  DBT CRD 1239 01/04/24 DBFSX1JC  LOWES #00907*  866-483-7521  NC C#8567",B,31.69,,,
"Checking - 9692",Posted,01/05/2024,01/05/2024,,"CHECK              1539",B,646.00,,,1539
"Checking - 9692",Posted,01/05/2024,01/05/2024,,"CHECK              1540",B,852.00,,,1540
"Checking - 9692",Posted,01/05/2024,01/05/2024,,"CHECK              1546",B,585.00,,,1546
"Checking - 9692",Posted,01/05/2024,01/05/2024,,"CHECK              1548",B,699.00,,,1548
"Checking - 9692",Posted,01/05/2024,01/05/2024,,"Service Charge",B,0.60,,,
"Checking - 9692",Posted,01/05/2024,01/05/2024,,"Debit Fee in Service Charge",I,0.60,,,
"Checking - 9692",Posted,01/04/2024,01/04/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,1703.85,,
"Checking - 9692",Posted,01/04/2024,01/04/2024,,"CHECK              0",B,906.00,,,
"Checking - 9692",Posted,01/04/2024,01/04/2024,,"CHECK              1506",B,500.00,,,1506
"Checking - 9692",Posted,01/04/2024,01/04/2024,,"CHECK              1537",B,814.00,,,1537
"Checking - 9692",Posted,01/04/2024,01/04/2024,,"CHECK              1542",B,700.00,,,1542
"Checking - 9692",Posted,01/04/2024,01/04/2024,,"CHECK              1545",B,963.00,,,1545
"Checking - 9692",Posted,01/04/2024,01/04/2024,,"CHECK               2046",B,6200.00,,,2046
"Checking - 9692",Posted,01/03/2024,01/03/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,3161.05,,
"Checking - 9692",Posted,01/03/2024,01/03/2024,,"ACH Debit  CABLE PMNT OPTIMUM 7705  PPD",B,75.00,,,
"Checking - 9692",Posted,01/03/2024,01/03/2024,,"CHECK              1525",B,1020.00,,,1525
"Checking - 9692",Posted,01/03/2024,01/03/2024,,"CHECK              1549",B,854.50,,,1549
"Checking - 9692",Posted,01/03/2024,01/03/2024,,"CHECK              1551",B,854.50,,,1551
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,86.00,,
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,88.00,,
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,146.00,,
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,1571.25,,
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,3241.45,,
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,3785.50,,
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"ACH Debit  BILLPAY    STILLWATER UTILI  PPD",B,200.78,,,
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"ACH Debit  BILLPAY    STILLWATER UTILI  PPD",B,658.73,,,
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"ACH Debit  941300000116152  MTHLY DISC DIRECT PAYMENT  CCD",B,1358.16,,,
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"POS Pre-Authorized Debit - DDA  DBT CRD 0136 01/01/24 DBA2XWEN  PY *LOCKED UP SELF STO  STILLWATER    OK C#8567",B,382.00,,,
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"POS Recurring Debit  DBT CRD 1449 12/31/23 DBGKZPUN  FACEBK 6VW9YWXWD2  MENLO PARK    CA C#8567",B,14.19,,,
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"POS Recurring Debit  DBT CRD 1038 01/01/24 DBO9HJZU  GOOGLE ADS7683985431  MOUNTAIN VIEW CA C#8567",B,259.73,,,
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"CHECK              1499",B,1024.00,,,1499
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"CHECK              1512",B,1048.00,,,1512
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"CHECK              1544",B,846.00,,,1544
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"CHECK              1550",B,854.50,,,1550
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"CHECK              1552",B,854.50,,,1552
"Checking - 9692",Posted,01/02/2024,01/02/2024,,"CHECK              2045",B,815.00,,,2045
